,rank,team,rank_change,year,previous_cup_wins,won_this_year,Part,W,D,L,Gd,Pts
151,82,Niger,0,1993,0,0,2.0,0.0,1.0,5.0,-8.0,1.0
152,95,South Africa,0,1993,0,0,10.0,16.0,13.0,14.0,3.0,61.0
153,106,Togo,2,1993,0,0,8.0,3.0,8.0,14.0,-23.0,17.0
154,104,Mozambique,1,1993,0,0,4.0,0.0,2.0,10.0,-22.0,2.0
155,99,Tanzania,0,1993,0,0,2.0,0.0,1.0,5.0,-9.0,1.0
156,98,Burundi,0,1993,0,0,1.0,0.0,0.0,3.0,-4.0,0.0
157,97,Angola,0,1993,0,0,8.0,4.0,12.0,10.0,-9.0,24.0
158,96,Uganda,0,1993,0,0,7.0,4.0,3.0,16.0,-17.0,15.0
159,102,Congo,1,1993,0,0,7.0,7.0,7.0,12.0,-13.0,28.0
160,98,Angola,1,1993,0,0,8.0,4.0,12.0,10.0,-9.0,24.0
161,101,Tanzania,2,1993,0,0,2.0,0.0,1.0,5.0,-9.0,1.0
162,102,Burundi,4,1993,0,0,1.0,0.0,0.0,3.0,-4.0,0.0
163,105,Mozambique,1,1993,0,0,4.0,0.0,2.0,10.0,-22.0,2.0
164,96,South Africa,1,1993,0,0,10.0,16.0,13.0,14.0,3.0,61.0
165,103,Congo,1,1993,0,0,7.0,7.0,7.0,12.0,-13.0,28.0
166,95,Uganda,-1,1993,0,0,7.0,4.0,3.0,16.0,-17.0,15.0
167,81,Niger,-1,1993,0,0,2.0,0.0,1.0,5.0,-8.0,1.0
168,84,Sierra Leone,1,1993,0,0,3.0,1.0,3.0,4.0,-10.0,6.0
169,86,Madagascar,0,1993,0,0,1.0,2.0,2.0,1.0,0.0,8.0
170,91,Ethiopia,1,1993,1,0,11.0,7.0,4.0,19.0,-36.0,25.0
171,149,Libya,1,1993,0,0,3.0,3.0,5.0,3.0,-1.0,14.0
172,114,Togo,8,1993,0,0,8.0,3.0,8.0,14.0,-23.0,17.0
173,137,Botswana,0,1993,0,0,1.0,0.0,0.0,3.0,-7.0,0.0
174,142,Cape Verde,0,1993,0,0,3.0,2.0,6.0,3.0,-3.0,12.0
175,144,Mauritania,1,1993,0,0,2.0,0.0,2.0,4.0,-10.0,2.0
176,118,Sudan,1,1993,1,0,9.0,7.0,7.0,13.0,-13.0,28.0
177,119,Liberia,3,1993,0,0,2.0,1.0,2.0,2.0,-2.0,5.0
178,123,Burkina Faso,0,1993,0,0,12.0,9.0,16.0,23.0,-25.0,43.0
179,126,Benin,0,1993,0,0,4.0,0.0,5.0,9.0,-17.0,5.0
180,128,Mauritius,1,1993,0,0,1.0,0.0,0.0,3.0,-6.0,0.0
181,132,Guinea-Bissau,1,1993,0,0,3.0,0.0,3.0,6.0,-10.0,3.0
182,24,Cameroon,2,1993,2,0,20.0,45.0,30.0,16.0,55.0,165.0
183,29,Zambia,4,1993,0,0,17.0,26.0,20.0,21.0,12.0,98.0
184,30,Morocco,0,1993,1,0,18.0,27.0,24.0,19.0,19.0,105.0
185,31,Egypt,4,1993,3,0,25.0,60.0,20.0,27.0,78.0,200.0
186,33,Algeria,2,1993,1,0,19.0,28.0,22.0,27.0,5.0,106.0
187,34,Ivory Coast,1,1993,1,0,24.0,44.0,30.0,25.0,42.0,162.0
188,16,Nigeria,0,1993,1,0,19.0,53.0,22.0,22.0,46.0,181.0
189,36,Tunisia,1,1993,0,0,20.0,25.0,29.0,26.0,5.0,104.0
190,62,Guinea,-1,1993,0,0,13.0,13.0,17.0,17.0,-5.0,56.0
191,63,Senegal,6,1993,0,0,16.0,27.0,17.0,23.0,22.0,98.0
192,69,Malawi,0,1993,0,0,3.0,2.0,2.0,6.0,-6.0,8.0
193,70,DR Congo,0,1993,1,0,19.0,20.0,24.0,29.0,-14.0,84.0
194,72,Kenya,0,1993,0,0,6.0,2.0,4.0,11.0,-19.0,10.0
195,56,Gabon,2,1993,0,0,8.0,7.0,10.0,8.0,-3.0,31.0
196,41,Ghana,1,1993,4,0,23.0,54.0,21.0,27.0,46.0,183.0
197,75,Mali,2,1993,0,0,12.0,19.0,19.0,16.0,0.0,76.0
198,46,Zimbabwe,3,1993,0,0,5.0,3.0,2.0,10.0,-15.0,11.0
199,98,Tanzania,-3,1993,0,0,2.0,0.0,1.0,5.0,-9.0,1.0
200,101,Burundi,-1,1993,0,0,1.0,0.0,0.0,3.0,-4.0,0.0
201,102,Angola,4,1993,0,0,8.0,4.0,12.0,10.0,-9.0,24.0
202,103,Congo,0,1993,0,0,7.0,7.0,7.0,12.0,-13.0,28.0
203,104,Mozambique,-1,1993,0,0,4.0,0.0,2.0,10.0,-22.0,2.0
204,113,Togo,-1,1993,0,0,8.0,3.0,8.0,14.0,-23.0,17.0
205,96,Ethiopia,5,1993,1,0,11.0,7.0,4.0,19.0,-36.0,25.0
206,94,Uganda,-1,1993,0,0,7.0,4.0,3.0,16.0,-17.0,15.0
207,81,Niger,0,1993,0,0,2.0,0.0,1.0,5.0,-8.0,1.0
208,89,Madagascar,3,1993,0,0,1.0,2.0,2.0,1.0,0.0,8.0
209,95,South Africa,-1,1993,0,0,10.0,16.0,13.0,14.0,3.0,61.0
210,140,Botswana,3,1993,0,0,1.0,0.0,0.0,3.0,-7.0,0.0
211,144,Mauritania,0,1993,0,0,2.0,0.0,2.0,4.0,-10.0,2.0
212,147,Cape Verde,5,1993,0,0,3.0,2.0,6.0,3.0,-3.0,12.0
213,119,Sudan,1,1993,1,0,9.0,7.0,7.0,13.0,-13.0,28.0
214,123,Liberia,4,1993,0,0,2.0,1.0,2.0,2.0,-2.0,5.0
215,127,Burkina Faso,4,1993,0,0,12.0,9.0,16.0,23.0,-25.0,43.0
216,130,Benin,4,1993,0,0,4.0,0.0,5.0,9.0,-17.0,5.0
217,131,Guinea-Bissau,-1,1993,0,0,3.0,0.0,3.0,6.0,-10.0,3.0
218,133,Mauritius,5,1993,0,0,1.0,0.0,0.0,3.0,-6.0,0.0
219,125,Gambia,-28,1993,0,0,1.0,3.0,1.0,1.0,1.0,10.0
220,76,Sierra Leone,-8,1993,0,0,3.0,1.0,3.0,4.0,-10.0,6.0
221,74,Kenya,2,1993,0,0,6.0,2.0,4.0,11.0,-19.0,10.0
222,23,Cameroon,-1,1993,2,0,20.0,45.0,30.0,16.0,55.0,165.0
223,26,Egypt,-5,1993,3,0,25.0,60.0,20.0,27.0,78.0,200.0
224,27,Zambia,-2,1993,0,0,17.0,26.0,20.0,21.0,12.0,98.0
225,30,Morocco,0,1993,1,0,18.0,27.0,24.0,19.0,19.0,105.0
226,32,Tunisia,-4,1993,0,0,20.0,25.0,29.0,26.0,5.0,104.0
227,33,Ivory Coast,-1,1993,1,0,24.0,44.0,30.0,25.0,42.0,162.0
228,35,Algeria,2,1993,1,0,19.0,28.0,22.0,27.0,5.0,106.0
